scenario,sweep,param_label,param_numeric,n_chains,attack_chain_total_strength,attack_chain_mean_strength,attack_chain_n_events,attack_chain_n_pairs,attack_chain_is_cross_domain,attack_connectivity,noise_inclusion,max_other_chain_strength,separation_ratio
mmsi,tau_t,tau_t=60s,60.0,1,0.24534137418445406,0.009436206699402079,8,26,True,1.0,0,0.0,0.0
mmsi,tau_t,tau_t=150s,150.0,1,1.6416783511004338,0.06314147504232438,8,26,True,1.0,0,0.0,0.0
mmsi,tau_t,tau_t=300s,300.0,1,4.016481025276129,0.15448003943369729,8,26,True,1.0,0,0.0,0.0
mmsi,tau_t,tau_t=600s,600.0,1,7.0576389395200145,0.27144765152000055,8,26,True,1.0,0,0.0,0.0
mmsi,tau_t,tau_t=1200s,1200.0,1,9.765369752288466,0.37559114431878715,8,26,True,1.0,0,0.0,0.0
mmsi,tau_t,tau_t=3600s,3600.0,1,12.360636671273632,0.47540910274129355,8,26,True,1.0,0,0.0,0.0
mmsi,rule_weights,current,nan,1,4.016481025276129,0.15448003943369729,8,26,True,1.0,0,0.0,0.0
mmsi,rule_weights,uniform,nan,1,3.4118813161347243,0.13122620446672018,8,26,True,1.0,0,0.0,0.0
mmsi,rule_weights,topology-heavy,nan,1,4.448503209535693,0.17109627728983437,8,26,True,1.0,0,0.0,0.0
mmsi,rule_weights,cross-heavy,nan,1,3.3398972788118573,0.1284575876466099,8,26,True,1.0,0,0.0,0.0
mmsi,rule_weights,evidence-light,nan,1,2.7802838617094867,0.1069339946811341,8,26,True,1.0,0,0.0,0.0
mmsi,min_pair_strength,thr=0.00,0.0,1,4.016481025276129,0.15448003943369729,8,26,True,1.0,0,0.0,0.0
mmsi,min_pair_strength,thr=0.05,0.05,1,3.8064512151714625,0.20033953764060328,8,19,True,1.0,0,0.0,0.0
mmsi,min_pair_strength,thr=0.10,0.1,1,3.5685239470216543,0.2379015964681103,8,15,True,1.0,0,0.0,0.0
mmsi,min_pair_strength,thr=0.15,0.15,1,3.07525476085258,0.27956861462296184,6,11,True,1.0,0,0.0,0.0
mmsi,min_pair_strength,thr=0.20,0.2,1,2.3957376924190426,0.3422482417741489,6,7,True,1.0,0,0.0,0.0
mmsi,min_pair_strength,thr=0.30,0.3,1,1.8745588983086103,0.37491177966172207,5,5,True,1.0,0,0.0,0.0
mmsi,min_pair_strength,thr=0.50,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
gnss_5g,tau_t,tau_t=60s,60.0,1,1.1628302211922934,0.027042563283541706,11,43,True,1.0,3,0.0,0.0
gnss_5g,tau_t,tau_t=150s,150.0,1,4.193821624032727,0.09753073544262154,11,43,True,1.0,3,0.0,0.0
gnss_5g,tau_t,tau_t=300s,300.0,1,8.49748704973273,0.19761597790076116,11,43,True,1.0,3,0.0,0.0
gnss_5g,tau_t,tau_t=600s,600.0,1,13.538167057167497,0.3148410943527325,11,43,True,1.0,3,0.0,0.0
gnss_5g,tau_t,tau_t=1200s,1200.0,1,17.779195995610152,0.41346967431651516,11,43,True,1.0,3,0.0,0.0
gnss_5g,tau_t,tau_t=3600s,3600.0,1,21.701063708492583,0.504675900197502,11,43,True,1.0,3,0.0,0.0
gnss_5g,rule_weights,current,nan,1,8.49748704973273,0.19761597790076116,11,43,True,1.0,3,0.0,0.0
gnss_5g,rule_weights,uniform,nan,1,6.881554832897139,0.16003615890458464,11,43,True,1.0,3,0.0,0.0
gnss_5g,rule_weights,topology-heavy,nan,1,9.310913637767712,0.21653287529692353,11,43,True,1.0,3,0.0,0.0
gnss_5g,rule_weights,cross-heavy,nan,1,7.169242351350638,0.16672656631047997,11,43,True,1.0,3,0.0,0.0
gnss_5g,rule_weights,evidence-light,nan,1,5.14012568530514,0.11953780663500325,11,43,True,1.0,3,0.0,0.0
gnss_5g,min_pair_strength,thr=0.00,0.0,1,8.49748704973273,0.19761597790076116,11,43,True,1.0,3,0.0,0.0
gnss_5g,min_pair_strength,thr=0.05,0.05,1,8.214381241156612,0.23469660689018892,11,35,True,1.0,3,0.0,0.0
gnss_5g,min_pair_strength,thr=0.10,0.1,1,7.9309748690967,0.2558378990031194,10,31,True,1.0,2,0.0,0.0
gnss_5g,min_pair_strength,thr=0.15,0.15,1,6.903929680476348,0.3001708556728847,10,23,True,1.0,2,0.0,0.0
gnss_5g,min_pair_strength,thr=0.20,0.2,1,5.911740978170521,0.3477494693041483,10,17,True,1.0,2,0.0,0.0
gnss_5g,min_pair_strength,thr=0.30,0.3,1,4.900229335252348,0.37694071809633445,10,13,True,1.0,2,0.0,0.0
gnss_5g,min_pair_strength,thr=0.50,0.5,1,0.583345661568062,0.583345661568062,2,1,True,0.25,0,0.0,0.0
