scenario,config,threshold,n_chains,attack_chain_total_strength,attack_chain_mean_strength,attack_chain_n_events,attack_chain_n_pairs,attack_chain_is_cross_domain,attack_connectivity,noise_inclusion,max_other_chain_strength,separation_ratio
mmsi,current,0.0,1,4.016481025276129,0.15448003943369729,8,26,True,1.0,0,0.0,0.0
mmsi,current,0.05,1,3.8064512151714625,0.20033953764060328,8,19,True,1.0,0,0.0,0.0
mmsi,current,0.1,1,3.5685239470216543,0.2379015964681103,8,15,True,1.0,0,0.0,0.0
mmsi,current,0.15,1,3.07525476085258,0.27956861462296184,6,11,True,0.75,0,0.0,0.0
mmsi,current,0.2,1,2.3957376924190426,0.3422482417741489,6,7,True,0.75,0,0.0,0.0
mmsi,current,0.3,1,1.8745588983086103,0.37491177966172207,5,5,True,0.625,0,0.0,0.0
mmsi,current,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,uniform,0.0,1,3.4118813161347243,0.13122620446672018,8,26,True,1.0,0,0.0,0.0
mmsi,uniform,0.05,1,3.1480131837634224,0.1967508239852139,8,16,True,1.0,0,0.0,0.0
mmsi,uniform,0.1,1,2.909034751708302,0.2237719039775617,8,13,True,1.0,0,0.0,0.0
mmsi,uniform,0.15,1,2.5641703402019824,0.2564170340201982,6,10,True,0.75,0,0.0,0.0
mmsi,uniform,0.2,1,1.6911811744549397,0.3382362348909879,5,5,True,0.625,0,0.0,0.0
mmsi,uniform,0.3,1,1.489526560605885,0.37238164015147124,5,4,True,0.625,0,0.0,0.0
mmsi,uniform,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,topology-heavy,0.0,1,4.448503209535693,0.17109627728983437,8,26,True,1.0,0,0.0,0.0
mmsi,topology-heavy,0.05,1,4.272221436361044,0.21361107181805222,8,20,True,1.0,0,0.0,0.0
mmsi,topology-heavy,0.1,1,3.928809519249318,0.2619206346166212,8,15,True,1.0,0,0.0,0.0
mmsi,topology-heavy,0.15,1,3.5079493758404707,0.2923291146533726,6,12,True,0.75,0,0.0,0.0
mmsi,topology-heavy,0.2,1,2.8130277090675864,0.3516284636334483,6,8,True,0.75,0,0.0,0.0
mmsi,topology-heavy,0.3,1,2.314264427482693,0.38571073791378213,6,6,True,0.75,0,0.0,0.0
mmsi,topology-heavy,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,cross-heavy,0.0,1,3.3398972788118573,0.1284575876466099,8,26,True,1.0,0,0.0,0.0
mmsi,cross-heavy,0.05,1,3.0793931709307816,0.19246207318317385,8,16,True,1.0,0,0.0,0.0
mmsi,cross-heavy,0.1,1,2.7035829448027817,0.2457802677093438,7,11,True,0.875,0,0.0,0.0
mmsi,cross-heavy,0.15,1,2.443701333390608,0.2715223703767342,6,9,True,0.75,0,0.0,0.0
mmsi,cross-heavy,0.2,1,1.5838698942391913,0.39596747355979783,5,4,True,0.625,0,0.0,0.0
mmsi,cross-heavy,0.3,1,1.5838698942391913,0.39596747355979783,5,4,True,0.625,0,0.0,0.0
mmsi,cross-heavy,0.5,0,0.0,0.0,0,0,False,0.0,0,0.0,0.0
mmsi,evidence-light,0.0,1,2.7802838617094867,0.1069339946811341,8,26,True,1.0,0,0.0,0.0
mmsi,evidence-light,0.05,1,2.5002257508314165,0.1923250577562628,7,13,True,0.875,0,0.0,0.0
mmsi,evidence-light,0.1,1,2.2891060213688688,0.22891060213688688,7,10,True,0.875,0,0.0,0.0
mmsi,evidence-light,0.15,1,2.053488525187342,0.2566860656484177,7,8,True,0.875,0,0.0,0.0
mmsi,evidence-light,0.2,1,1.159324892889312,0.386441630963104,4,3,False,0.5,0,0.0,0.0
